,reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sentiment
0,"   British Airways has confirmed itself as the worst airline in the UK. Last minute cancellation, no explanation, refusal to book with another airline “because we don’t have an arrangement with them”. What’s happened to what used to be our national airline?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,"✅    Worst BA experience. I was supposed to fly out to Italy on 7 September 2023. I arrived at OR Tambo International airport ready to check my bags in (I already checked-in online the previous evening so I had my boarding pass ready). At the counter I was told that I had been off-loaded from the flight as my connecting flight has been cancelled. No information was sent regarding this beforehand. The team at the check-in counter tried to get me on another flight that evening, but there were no flights available. They did manage to get me another flight the following evening with Lufthansa to Italy via Frankfurt. However, I did miss the first part of my trip having arrived a day and a half later than I was supposed to. Upon moving the flights I did ask the BA staff whether my flights back are still valid and that everything is in order, which they assured me is correct. I have to fly back to South Africa on 18 September and upon checking my booking information I noticed on my BA account that my first flight (Milan to London) is just missing from my booking. My connecting from London to Johannesburg is still there. After spending the entire morning on the customer helpline two different operators picked up and in both instances, the moment I proceed to give my booking reference number, my call gets dropped. Currently it seems like I will be arriving at the airport again on Monday without a flight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,"✅     My daughter and I were denied boarding on our business class flight from Madrid to Heathrow in March 25, 2023, the first leg on our return flight to Victoria, Canada. No reason was given for the denied boarding by the check in staff at the British Airways counter in Madrid, who said they were only agents and told us to call British Airways. We were three hours early for the flight and had valid passports. After many tries we finally reached British Airways by phone, but we were told to call Expedia which had booked the flights. Expedia confirmed that we had been bumped from the flight, with no explanation as to why. Expedia then began a long process of finding alternative flights. Over the next 24 hours we had numerous calls with both Expedia and British Airways. Incredibly, the next available flights were 9 days later on April 3. This was almost unbelievable, but after many many tries it was the best we could do. Even though these were Business Class tickets. Part of the problem was that apparently rules did not allow any changes to routing for any segment of the flight. This nine day delay was a major problem for us. I had to miss work and my daughter was missing school. Further, we received no compensation from British Airways, no penalty fee, and not any reimbursement of our expenses for staying the nine extra days. After our return I began the British Airways online complaint process, and submitted all supporting documents. I received an email reply and a case reference number. And then nothing. I sent numerous follow up emails, and received no replies. It is now months later, and still I have not heard from British Airways. This is shocking, and definitely the worst airline service I have received for my thousands of flights over many decades. I am a very patient person and this is the first time I have commented on this type of forum. I think the public should be made aware of extremely poor customer service at British Airways.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,"✅    Despite boarding being the usual free for all at LHR with groups 1-3 being called to board all at once. Whilst those passengers who had agreed to check in a bag in at the gate, getting to board before anyone else! However, the service on board was impeccable. Superb crew, friendly, attentive, interacting with passengers and generally appearing to be enjoying their job. Like BA in the old days and at its best. Food choice and quality seems to have improved too (no beef cheeks thankfully) and even the Club kitchen appears to have returned. Old style Club seating, but is at least better, and feels less cramped, on the 787's.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,"   Flight cancelled, no crew! 9th September 2023, not peak holiday period so why such bad management by BA? Sent to the gate left standing of over and hour and then flight cancelled. As were other on that day. Why does BA continue to provide such poor service - a national disgrace.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,"   The worst service ever, my baggage did not arrive on time. Both my flights were delayed. I will never fly them again.  Even the food was bad and your service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,✅     4/4 flights we booked this holiday were delayed about 1-2 hours. No wifi available on 2 of 4 flights Food and drinks very basic and expensive. Cannot recommend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,"✅     British Airways has a total lack of respect for its customers. I was booked to fly from Frankfurt Main to London City Airport, and just a couple of hours before the scheduled departure the flight was suddenly cancelled by BA without explanation, when I was already at the airport. The worst thing was the utter callousness that staff showed towards customers. The ground staff’s attitude was that they are merely third party agents, not BA employees, and therefore they quickly washed their hands of us all, telling us we had to contact BA directly via phone if we wanted help. They couldn’t even provide us a phone number, telling us to look it up on ba.com ! So BA abandoned its passengers. They did tell us that the BA departure to Heathrow had also been cancelled, meaning there would be no further BA flight from Frankfurt to London that day (although other airlines were still operating the route- but BA refused to rebook us on them). The reason given for both cancellations was “technical reasons”. No assistance or information was provided on our rights due to cancellation, nor any information on help regarding food/ accommodation help etc. Their attitude was literally that the cancellation had nothing to do with them and it was our problem, not theirs. I received an email an hour later notifying me that I had been automatically rebooked on an alternative flight 24 hours later, which wasn’t acceptable as I had to get back to London that night. I rang BA’s call centre and again, they showed a high degree of callousness. 95% of the half-hour call was spent with me waiting on hold, with the phone just cutting off after half an hour, and no meaningful information given to me by that point. There was no attempt by the call operator to call me back when the line cut (and I had a solid phone signal and wifi as I was still standing in Terminal 2 of Frankfurt Main airport), even though my phone number is listed in my booking contact details. They just don’t care. In the end I had to arrange my own return to London by taking a coach to Hanh airport which was 112km away , waiting there for 5 hours and then booking an expensive last minute ticket with Ryanair to Stansted. At least that flight operated on time and got me back to London! BA is worse than a low cost carrier now.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,"✅    London Heathrow to Keflavik, Iceland in Business Class on an A321. British Airways provides an unusual Business Class experience for intra-Europe flights. The seating is similar to most airlines - middle seat vacant and little extra space - but on British Airways the Business Class cabin extends to almost half the aircraft. This makes it less than a premium experience at every step, from boarding to onboard. The WiFi worked for only half the flight and there are no refunds. But when it worked it was surprisingly fast. Service on this flight was very good and we got to Keflavik on time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,"✅    Mumbai to London Heathrow in Business Class on an ageing B777-200. This aircraft featured the older Club World flatbed seats. They are comfortable, there is enough storage space around the cubicle, and the monitor screen is among the larger ones I've seen on airplanes. BA's new Club Suites are said to be far superior, competing with the best B-class rivals. The entire Business Class cabin had just 2 washrooms but it wasn't an issue on this flight since the premier section wasn't at full capacity. There was Wi-Fi on board, fast enough to even send videos via messaging apps. Service onboard was competent but the staff lacked warmth. The food was alright and no more. The biggest plus of this flight is that it gets out of Bombay at 1:10 pm in the afternoon instead of the ungodly early morning hours most international flights take off from India. The airport experience is far more pleasant at this time. In summary: British Airways provides a good, but not spectacular, Business Class product.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
